base_gen_project,retrofit_gen_project
Shanxi-EP_Coal_1000_DRY-ep-3029,Shanxi-EP_Coal_1000_DRY-ep-3029_H2
Shanxi-EP_Coal_1000_DRY-ep-3030,Shanxi-EP_Coal_1000_DRY-ep-3030_H2
Shanxi-EP_Coal_1000_DRY-ep-3031,Shanxi-EP_Coal_1000_DRY-ep-3031_H2
Shanxi-EP_Coal_1000_DRY-ep-3032,Shanxi-EP_Coal_1000_DRY-ep-3032_H2
Shanxi-EP_Coal_300_DRY-ep-226,Shanxi-EP_Coal_300_DRY-ep-226_H2
Shanxi-EP_Coal_300_DRY-ep-227,Shanxi-EP_Coal_300_DRY-ep-227_H2
Shanxi-EP_Coal_300_DRY-ep-228,Shanxi-EP_Coal_300_DRY-ep-228_H2
Shanxi-EP_Coal_300_DRY-ep-229,Shanxi-EP_Coal_300_DRY-ep-229_H2
Shanxi-EP_Coal_300_DRY-ep-232,Shanxi-EP_Coal_300_DRY-ep-232_H2
Shanxi-EP_Coal_300_DRY-ep-233,Shanxi-EP_Coal_300_DRY-ep-233_H2
Shanxi-EP_Coal_300_DRY-ep-240,Shanxi-EP_Coal_300_DRY-ep-240_H2
Shanxi-EP_Coal_300_DRY-ep-241,Shanxi-EP_Coal_300_DRY-ep-241_H2
Shanxi-EP_Coal_300_DRY-ep-242,Shanxi-EP_Coal_300_DRY-ep-242_H2
Shanxi-EP_Coal_300_DRY-ep-243,Shanxi-EP_Coal_300_DRY-ep-243_H2
Shanxi-EP_Coal_300_DRY-ep-244,Shanxi-EP_Coal_300_DRY-ep-244_H2
Shanxi-EP_Coal_300_DRY-ep-245,Shanxi-EP_Coal_300_DRY-ep-245_H2
Shanxi-EP_Coal_300_DRY-ep-246,Shanxi-EP_Coal_300_DRY-ep-246_H2
Shanxi-EP_Coal_300_DRY-ep-247,Shanxi-EP_Coal_300_DRY-ep-247_H2
Shanxi-EP_Coal_300_DRY-ep-248,Shanxi-EP_Coal_300_DRY-ep-248_H2
Shanxi-EP_Coal_300_DRY-ep-249,Shanxi-EP_Coal_300_DRY-ep-249_H2
Shanxi-EP_Coal_300_DRY-ep-250,Shanxi-EP_Coal_300_DRY-ep-250_H2
Shanxi-EP_Coal_300_DRY-ep-251,Shanxi-EP_Coal_300_DRY-ep-251_H2
Shanxi-EP_Coal_300_DRY-ep-252,Shanxi-EP_Coal_300_DRY-ep-252_H2
Shanxi-EP_Coal_300_DRY-ep-253,Shanxi-EP_Coal_300_DRY-ep-253_H2
Shanxi-EP_Coal_300_DRY-ep-258,Shanxi-EP_Coal_300_DRY-ep-258_H2
Shanxi-EP_Coal_300_DRY-ep-259,Shanxi-EP_Coal_300_DRY-ep-259_H2
Shanxi-EP_Coal_300_DRY-ep-260,Shanxi-EP_Coal_300_DRY-ep-260_H2
Shanxi-EP_Coal_300_DRY-ep-261,Shanxi-EP_Coal_300_DRY-ep-261_H2
Shanxi-EP_Coal_300_DRY-ep-262,Shanxi-EP_Coal_300_DRY-ep-262_H2
Shanxi-EP_Coal_300_DRY-ep-263,Shanxi-EP_Coal_300_DRY-ep-263_H2
Shanxi-EP_Coal_300_DRY-ep-264,Shanxi-EP_Coal_300_DRY-ep-264_H2
Shanxi-EP_Coal_300_DRY-ep-265,Shanxi-EP_Coal_300_DRY-ep-265_H2
Shanxi-EP_Coal_300_DRY-ep-266,Shanxi-EP_Coal_300_DRY-ep-266_H2
Shanxi-EP_Coal_300_DRY-ep-267,Shanxi-EP_Coal_300_DRY-ep-267_H2
Shanxi-EP_Coal_300_DRY-ep-270,Shanxi-EP_Coal_300_DRY-ep-270_H2
Shanxi-EP_Coal_300_DRY-ep-271,Shanxi-EP_Coal_300_DRY-ep-271_H2
Shanxi-EP_Coal_300_DRY-ep-272,Shanxi-EP_Coal_300_DRY-ep-272_H2
Shanxi-EP_Coal_300_DRY-ep-273,Shanxi-EP_Coal_300_DRY-ep-273_H2
Shanxi-EP_Coal_300_DRY-ep-274,Shanxi-EP_Coal_300_DRY-ep-274_H2
Shanxi-EP_Coal_300_DRY-ep-275,Shanxi-EP_Coal_300_DRY-ep-275_H2
Shanxi-EP_Coal_300_DRY-ep-276,Shanxi-EP_Coal_300_DRY-ep-276_H2
Shanxi-EP_Coal_300_DRY-ep-277,Shanxi-EP_Coal_300_DRY-ep-277_H2
Shanxi-EP_Coal_300_DRY-ep-278,Shanxi-EP_Coal_300_DRY-ep-278_H2
Shanxi-EP_Coal_300_DRY-ep-279,Shanxi-EP_Coal_300_DRY-ep-279_H2
