GENERATION_PROJECT,gen_loading_level,gen_heat_rate_at_loading_level
Shanxi-Coal_100_RC-ep-307,0.4,9.7395
Shanxi-Coal_100_RC-ep-307,1.0,9.06
Shanxi-Coal_100_RC-ep-313,0.4,9.7395
Shanxi-Coal_100_RC-ep-313,1.0,9.06
Shanxi-Coal_100_RC-ep-314,0.4,9.7395
Shanxi-Coal_100_RC-ep-314,1.0,9.06
Shanxi-Coal_100_RC-ep-344,0.4,9.7395
Shanxi-Coal_100_RC-ep-344,1.0,9.06
Shanxi-Coal_100_RC-ep-345,0.4,9.7395
Shanxi-Coal_100_RC-ep-345,1.0,9.06
Shanxi-Coal_100_RC-ep-346,0.4,9.7395
Shanxi-Coal_100_RC-ep-346,1.0,9.06
Shanxi-Coal_100_RC-ep-347,0.4,9.7395
Shanxi-Coal_100_RC-ep-347,1.0,9.06
Shanxi-Coal_300_DRY-11373,0.4,10.07275
Shanxi-Coal_300_DRY-11373,1.0,9.37
Shanxi-Coal_300_DRY-11389,0.4,10.07275
Shanxi-Coal_300_DRY-11389,1.0,9.37
Shanxi-Coal_300_DRY-11405,0.4,10.07275
Shanxi-Coal_300_DRY-11405,1.0,9.37
Shanxi-Coal_300_DRY-11421,0.4,10.07275
Shanxi-Coal_300_DRY-11421,1.0,9.37
Shanxi-Coal_300_DRY-11437,0.4,10.07275
Shanxi-Coal_300_DRY-11437,1.0,9.37
Shanxi-Coal_300_RC-11363,0.4,9.589
Shanxi-Coal_300_RC-11363,1.0,8.92
Shanxi-Coal_300_RC-11379,0.4,9.589
Shanxi-Coal_300_RC-11379,1.0,8.92
Shanxi-Coal_300_RC-11395,0.4,9.589
Shanxi-Coal_300_RC-11395,1.0,8.92
Shanxi-Coal_300_RC-11411,0.4,9.589
Shanxi-Coal_300_RC-11411,1.0,8.92
Shanxi-Coal_300_RC-11427,0.4,9.589
Shanxi-Coal_300_RC-11427,1.0,8.92
Shanxi-Coal_600_DRY-11371,0.4,9.6105
Shanxi-Coal_600_DRY-11371,1.0,8.94
Shanxi-Coal_600_DRY-11387,0.4,9.6105
Shanxi-Coal_600_DRY-11387,1.0,8.94
Shanxi-Coal_600_DRY-11403,0.4,9.6105
Shanxi-Coal_600_DRY-11403,1.0,8.94
Shanxi-Coal_600_DRY-11419,0.4,9.6105
Shanxi-Coal_600_DRY-11419,1.0,8.94
Shanxi-Coal_600_DRY-11435,0.4,9.6105
Shanxi-Coal_600_DRY-11435,1.0,8.94
Shanxi-Coal_600_RC-11361,0.4,9.08375
Shanxi-Coal_600_RC-11361,1.0,8.45
Shanxi-Coal_600_RC-11377,0.4,9.08375
Shanxi-Coal_600_RC-11377,1.0,8.45
Shanxi-Coal_600_RC-11393,0.4,9.08375
Shanxi-Coal_600_RC-11393,1.0,8.45
Shanxi-Coal_600_RC-11409,0.4,9.08375
Shanxi-Coal_600_RC-11409,1.0,8.45
Shanxi-Coal_600_RC-11425,0.4,9.08375
Shanxi-Coal_600_RC-11425,1.0,8.45
Shanxi-Coal_IGCC_RC-11365,0.4,12.75715
Shanxi-Coal_IGCC_RC-11365,1.0,8.89
Shanxi-Coal_IGCC_RC-11381,0.4,12.75715
Shanxi-Coal_IGCC_RC-11381,1.0,8.89
Shanxi-Coal_IGCC_RC-11397,0.4,12.75715
Shanxi-Coal_IGCC_RC-11397,1.0,8.89
Shanxi-Coal_IGCC_RC-11413,0.4,12.75715
Shanxi-Coal_IGCC_RC-11413,1.0,8.89
Shanxi-Coal_IGCC_RC-11429,0.4,12.75715
Shanxi-Coal_IGCC_RC-11429,1.0,8.89
Shanxi-Coal_Small_DRY-ep-225,0.4,10.8145
Shanxi-Coal_Small_DRY-ep-225,1.0,10.06
Shanxi-Coal_Small_DRY-ep-295,0.4,10.8145
Shanxi-Coal_Small_DRY-ep-295,1.0,10.06
Shanxi-Coal_Small_DRY-ep-342,0.4,10.8145
Shanxi-Coal_Small_DRY-ep-342,1.0,10.06
Shanxi-Coal_Small_DRY-ep-343,0.4,10.8145
Shanxi-Coal_Small_DRY-ep-343,1.0,10.06
Shanxi-Coal_Small_RC-ep-184,0.4,10.406
Shanxi-Coal_Small_RC-ep-184,1.0,9.68
Shanxi-Coal_Small_RC-ep-189,0.4,10.406
Shanxi-Coal_Small_RC-ep-189,1.0,9.68
Shanxi-Coal_Small_RC-ep-224,0.4,10.406
Shanxi-Coal_Small_RC-ep-224,1.0,9.68
Shanxi-Coal_Small_RC-ep-349,0.4,10.406
Shanxi-Coal_Small_RC-ep-349,1.0,9.68
Shanxi-Coal_Small_RC-ep-350,0.4,10.406
Shanxi-Coal_Small_RC-ep-350,1.0,9.68
Shanxi-EP_Coal_1000_DRY-ep-3015,0.4,8.41725
Shanxi-EP_Coal_1000_DRY-ep-3015,1.0,7.83
Shanxi-EP_Coal_1000_DRY-ep-3016,0.4,8.41725
Shanxi-EP_Coal_1000_DRY-ep-3016,1.0,7.83
Shanxi-EP_Coal_1000_DRY-ep-3017,0.4,8.41725
Shanxi-EP_Coal_1000_DRY-ep-3017,1.0,7.83
Shanxi-EP_Coal_1000_DRY-ep-3018,0.4,8.41725
Shanxi-EP_Coal_1000_DRY-ep-3018,1.0,7.83
Shanxi-EP_Coal_1000_DRY-ep-3019,0.4,8.41725
Shanxi-EP_Coal_1000_DRY-ep-3019,1.0,7.83
Shanxi-EP_Coal_1000_DRY-ep-3020,0.4,8.41725
Shanxi-EP_Coal_1000_DRY-ep-3020,1.0,7.83
Shanxi-EP_Coal_1000_DRY-ep-3021,0.4,8.41725
Shanxi-EP_Coal_1000_DRY-ep-3021,1.0,7.83
Shanxi-EP_Coal_1000_DRY-ep-3022,0.4,8.41725
Shanxi-EP_Coal_1000_DRY-ep-3022,1.0,7.83
Shanxi-EP_Coal_1000_DRY-ep-3023,0.4,8.41725
Shanxi-EP_Coal_1000_DRY-ep-3023,1.0,7.83
Shanxi-EP_Coal_1000_DRY-ep-3024,0.4,8.41725
Shanxi-EP_Coal_1000_DRY-ep-3024,1.0,7.83
Shanxi-EP_Coal_1000_DRY-ep-3025,0.4,8.41725
Shanxi-EP_Coal_1000_DRY-ep-3025,1.0,7.83
Shanxi-EP_Coal_1000_DRY-ep-3026,0.4,8.41725
